trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.5, 'e': 0.046887695219988486}",25,6,26.1841181407185,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.045959256649044204}",20,0,25.77524617031651,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.0450492023935578}",25,13,20.615195967843906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.04415716841969286}",25,1,29.13831741671969,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.043282797901965896}",20,4,29.082914355637453,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.042425741080511385}",25,0,30.196693188413605,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.04158565512117316}",25,13,23.38309069255436,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.04076220397836621}",25,3,32.513329071143886,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.039955058260653896}",20,8,24.89695207821386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.039163895098987066}",25,17,15.129860040448975,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.038388398017552054}",20,3,16.600231721195588,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.0376282568071762}",25,4,35.52580724681468,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.036883167401239994}",30,13,18.360672283542062,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.03615283175404641}",25,13,8.35585467492885,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.03543695772159864}",20,11,20.757984207801194,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.03473525894473856}",25,18,11.69311610268086,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.034047454734599344}",20,10,23.38288580564327,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.03337326996032608}",25,5,34.99887588632506,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.03271243493901982}",20,13,16.233799266888298,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.03206468532786077}",30,15,27.652676459459805,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.03142976201836771}",25,5,31.71057628686706,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.030807411032751076}",20,10,17.73062007416489,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.0301973834223185}",20,8,20.024025770010386,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.029599435167892}",20,16,8.538548115236903,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.029013327082197053}",25,15,18.732376773280112,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.028438824714184505}",30,20,17.955365926594975,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.027875698255247015}",20,13,12.137404640546462,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.02732372244729256}",25,11,26.352621475499056,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.026782676492638175}",20,10,7.805378443584651,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.02625234396568796}",25,12,1.118119010894485,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.02573251272635994}",25,16,19.316278005139278,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
